省份,城市,区域,院校名称,建校时间,隶属于,985工程,211工程,双一流,强基,国家重点学科,硕士点,博士点,重点实验室,占地面积(亩),院校类型,办学类型,办学性质,电子邮箱,地址,官方网址,官方电话,简介
北京,北京市,海淀区,北京大学,1898,教育部,是,是,是,是,54,50,49,47,7000,综合类,普通本科,公办,bdzsb@pku.edu.cn,北京市海淀区颐和园路5号,https://www.pku.edu.cn//,"010-62751407,010-62554332",北京大学创办于1898年，初名京师大学堂，是中国第一所国立综合性大学，也是当时中国最高教育行政机关。辛亥革命后，于1912年改为现名。作为新文化运动的中心和“五四”运动的策源地，作为中国最早传播马克思主义和民主科学思想的发祥地，作为中国共产党最早的活动基地，北京大学为民族的振兴和解放、国家的建设和发展、社会的文明和进步做出了不可替代的贡献，在
北京,北京市,西城区,中央音乐学院,1949,教育部,,是,是,,2,1,1,1,82,艺术类,普通本科,公办,zhaoban@ccom.edu.cn,中国北京西城区鲍家街43号,http://www.ccom.edu.cn/,010-66410968,"中央音乐学院由1940年建立的国立音乐院等几所音乐教育机构于1949年合并组建而成,是一所培养高级专门音乐人才的高等学府，全国艺术院校中唯一一所国家重点大学和“211工程”建设院校，2017年入选国家“双一流”学科建设高校。现设有作曲系、音乐学系、指挥系、钢琴系、管弦系、民乐系、声乐歌剧系、音乐教育学院、提琴制作研究中心、乐队学院、附属中等音乐学校、现"
北京,北京市,海淀区,中央民族大学,1941,国家民委,是,是,是,是,5,27,5,0,570,民族类,普通本科,公办,zb@cun.edu.cn,北京市海淀区中关村南大街27号,https://www.muc.edu.cn/,"010-68932902,010-68933922",中央民族大学(MinzuUniversityofChina)坐落于北京学府林立的海淀区，南邻国家图书馆，北依中关村科技园，校园环境典雅，古朴幽美，人文氛围浓郁，具有鲜明的民族特色。中央民族大学的前身是1941年9月中国共产党在延安创办的民族学院。1951年6月，中央民族学院在北京正式成立，乌兰夫任首任院长。1993年11月，更名为中央民族大学。党和国家历届领导集体始终关心和重视中央民
北京,北京市,海淀区,北京外国语大学,1941,教育部,,是,是,,7,11,2,1,770,语言类,普通本科,公办,bwzsb@bfsu.edu.cn,北京市海淀区西三环北路2号,http://www.bfsu.edu.cn/,"010-88816254,010-88816481",北京外国语大学坐落在北京市海淀区西三环北路，在三环路两侧分设东、西两个校区，是教育部直属、首批“211工程”高校、“985”优势学科创新平台高校、首批一流学科建设高校。学校是中国共产党创办的第一所外国语高等学校，前身是1941年成立于延安的中国抗日军政大学三分校俄文大队，后发展为延安外国语学校，建校始隶属于党中央领导。新中国成立后，学校归外交部
天津,天津市,北辰区,河北工业大学,1903,河北省,,是,是,,2,25,10,0,4000,理工类,普通本科,公办,zsb@hebut.edu.cn,天津市北辰区西平道5340号,http://www.hebut.edu.cn/,"022-60438029,022-60438259",历史悠久河北工业大学的前身是创办于1903年的北洋工艺学堂，是我国最早的培养工业人才的高等学校，创办了全国最早的高校校办工厂。1929年改称河北省立工业学院，1995年更名为河北工业大学。114年来，学校始终秉承“勤慎公忠”的校训精神，坚持“工学并举”的办学特色，形成了“勤奋、严谨、求实、进取”的优良校风，现已发展成为一所以工为主、多学科协调发展的国
北京,北京市,海淀区,北京航空航天大学,1952,工业和信息化部,是,是,是,是,13,39,25,8,3000,理工类,普通本科,公办,zsbgs@buaa.edu.cn,学院路校区：北京市海淀区学院路37号;沙河校区：北京市昌平区沙河高教园区,https://www.buaa.edu.cn/,"010-82317695,010-82338793,010-82338240",北京航空航天大学(简称北航)成立于1952年，由当时的清华大学、北洋大学、厦门大学、四川大学等八所院校的航空系合并组建，是新中国第一所航空航天高等学府，现隶属于工业和信息化部。学校所在地北京，分为学院路校区、沙河校区，占地3000多亩，总建筑面积170余万平方米。建校以来，北航一直是国家重点建设的高校，是全国第一批16所重点高校之一，也是80年代恢复学位
陕西,西安市,,长安大学,1951,教育部,,是,是,,2,33,9,1,3348,理工类,普通本科,公办,zsb@chd.edu.cn,陕西省西安市南二环路中段,http://www.chd.edu.cn/,"029-82334104,029-82334813",长安大学直属国家教育部，是教育部和交通运输部、国土资源部、住房和城乡建设部、陕西省人民政府共建的国家“211工程”重点建设大学，国家“985工程优势学科创新平台”建设高校，国家世界一流学科建设高校。2000年由始建于二十世纪50年代初的原西安公路交通大学、西安工程学院、西北建筑工程学院合并组建而成。学校座落于历史文化名城西安，现有校本部和渭水2个校
辽宁,大连市,甘井子区,大连海事大学,1909,交通运输部,,是,是,,2,19,7,21,2040,理工类,普通本科,公办,bkzs@dlmu.edu.cn,辽宁省大连市凌海路1号,https://www.dlmu.edu.cn/,"0411-84727233,0411-84724303",大连海事大学（原大连海运学院）是交通运输部所属的全国重点大学，是国家“211工程”重点建设高校、国家“双一流”建设高校，是交通运输部、教育部、国家海洋局、国家国防科技工业局、辽宁省人民政府、大连市人民政府共建高校。学校素有“航海家的摇篮”之称，是中国著名的高等航海学府，是被国际海事组织认定的世界上少数几所“享有国际盛誉”的海事院校之一
北京,北京市,朝阳区,北京工业大学,1960,北京市,,是,是,,3,33,20,1,1440,理工类,普通本科,公办,zsb@bjut.edu.cn,"平乐园校区：北京市朝阳区平乐园100号,通州校区：北京市通州区潞苑南大街89号",http://www.bjut.edu.cn/,010-67391609,北京工业大学（BeijingUniversityOfTechnology）创建于1960年，是一所以工为主，工、理、经、管、文、法、艺术、教育相结合的多科性市属重点大学。1981年成为国家教育部批准的第一批硕士学位授予单位，1985年成为博士学位授予单位，1996年通过国家“211工程”预审，正式跨入国家二十一世纪重点建设的百所大学的行列。2017年9月，学校正式进入国家一流学科建设高校行列，8个学科
北京,北京市,海淀区,中国人民大学,1937,教育部,是,是,是,是,20,37,22,20,7500,综合类,普通本科,公办,zsb@ruc.edu.cn,北京市海淀区中关村大街59号,https://www.ruc.edu.cn,400-012-3517,中国人民大学(RenminUniversityofChina)是中国共产党创办的第一所新型正规大学，是一所以人文社会科学为主的综合性研究型全国重点大学，直属于教育部，由教育部与北京市共建。学校的前身是1937年诞生于抗日战争烽火中的陕北公学，以及后来的华北联合大学和华北大学。1949年12月16日，中央人民政府政务院第十一次政务会议根据中共中央政治局的建议，通过了《关于成立中国人
北京,北京市,海淀区,北京师范大学,1902,教育部,是,是,是,是,26,38,31,17,1191,师范类,普通本科,公办,zsb@bnu.edu.cn,北太平庄校区北京市新街口外大街19号,http://www.bnu.edu.cn,010-58807962,北京师范大学是教育部直属重点大学，是一所以教师教育、教育科学和文理基础学科为主要特色的著名学府。学校的前身是1902年创立的京师大学堂师范馆，1908年改称京师优级师范学堂，独立设校，1912年改名为北京高等师范学校。1923年学校更名为北京师范大学，成为中国历史上第一所师范大学。1931年、1952年北平女子师范大学、辅仁大学先后并入北京师范大学。百余年来，北
山东,青岛市,崂山区,中国海洋大学,1924,教育部,是,是,是,是,5,35,18,4,2400,综合类,普通本科,公办,ouczsb@ouc.edu.cn,山东省青岛市崂山区松岭路238号,http://www.ouc.edu.cn/,"0532-66782426,0532-66782478,0532-66781723",中国海洋大学是一所海洋和水产学科特色显著、学科门类齐全的教育部直属重点综合性大学，是国家“985工程”和“211工程”重点建设的高校，2017年9月入选国家“世界一流大学建设高校”(A类)。学校校训是“海纳百川，取则行远”。学校创建于1924年，历经私立青岛大学、国立青岛大学、国立山东大学、山东大学等办学时期，于1959年发展成为山东海洋学院，1960年被国家确定为
河北,石家庄市,,河北经贸大学,1995,河北省,,,,,0,10,0,0,2630,财经类,普通本科,公办,zhaosheng@heuet.edu.cn,河北省石家庄市学府路47号,https://www.heuet.edu.cn/,0311-87655611,河北经贸大学是河北省重点建设的骨干大学，是一所以经济学、管理学、法学为主，兼有文学、理学、工学和艺术学的多学科财经类大学。学校由河北财经学院、河北经贸学院、河北商业高等专科学校合并组建而成，至今已有60余年的办学历史。学校位于滹沱河畔，地处石家庄市西部生态区滨水景观带，占地2950余亩，绿化面积达40%以上，被誉为“花园式”校园。学校分北、南
山东,烟台市,莱山区,滨州医学院,1946,山东省,,,,,0,6,0,0,1678,医药类,普通本科,公办,zhaokaoban@126.com,烟台校区：山东省烟台市莱山区观海路346号（264003）;滨州校区：山东省滨州市黄河三路522号（256603）,http://www.bzmc.edu.cn/,"0535-6913058,0543-3257001",滨州医学院是山东省应用型人才培养特色名校，前身是始建于1946年的原国立山东大学医学院，1956年3月独立建制为青岛医学院，1970年10月整体搬迁至山东省惠民地区行署驻地北镇办学，1974年11月设立青岛医学院北镇分院，1981年9月改称北镇医学院，1983年3月随驻地更名为滨州医学院，2002年烟台校区投入使用。目前，学校已发展成为一所以医学学科为优势，残疾人高等教育、康复
河北,石家庄市,,河北科技大学,1956,河北省,,,,,0,25,0,0,2760,理工类,普通本科,公办,zhaosheng@hebust.edu.cn,河北省石家庄市裕翔街26号,https://www.hebust.edu.cn/,"0311-81668135,0311-81668192",河北科技大学是河北省重点建设的多科性骨干大学。学校紧紧围绕“致力于人的全面发展，服务于区域经济建设和社会进步”的办学宗旨，坚持“区域性、应用型、国际化”的办学特色定位，抢抓机遇，加快发展。2007年以“优秀”的成绩通过教育部本科教学工作水平评估，2011年入选教育部“卓越工程师教育培养计划”高校。2016年入选河北省重点支持的国家一流大学建设高校
天津,天津市,南开区,南开大学,1919,教育部,是,是,是,是,17,11,31,2,6678,综合类,普通本科,公办,jjjc@nankai.edu.cn,天津市南开区卫津路94号,https://www.nankai.edu.cn/,022-23504845,南开大学是国家教育部直属重点综合性大学，是敬爱的周恩来总理的母校。南开大学由严修、张伯苓秉承教育救国理念创办，肇始于1904年，成立于1919年。1937年校园遭侵华日军炸毁，学校南迁。1938年与北京大学、清华大学合组西南联合大学，被誉为“学府北辰”。1946年回津复校并改为国立。新中国成立后，经历高等教育院系调整，成为文理并重的全国重点大学。改革开放以来
河北,保定市,,河北大学,1921,河北省,,,,,1,46,15,1,2430,综合类,普通本科,公办,jwcbgs@mail.hbu.cn,校本部：河北省保定市五四东路180号;新校区：河北省保定市七一东路2666号,http://www.hbu.edu.cn/,0312-5079698,河北大学是教育部与河北省人民政府“部省合建”、河北省人民政府和国家国防科技工业局共建的重点综合性大学，也是河北省重点支持的国家一流大学建设一层次高校。学校始建于1921年，初名天津工商大学，为法国天主教耶稣会创办，校址位于天津市马场道141号。1933年，学校因不足大学之规模，遂改名天津工商学院，1948年具备3院10系之规模后更名为津沽大学。1951年，中央
辽宁,沈阳市,皇姑区,辽宁大学,1948,辽宁省,,是,是,,6,27,12,1,2190,综合类,普通本科,公办,,沈阳崇山校区：沈阳市皇姑区崇山中路66号;沈阳蒲河校区：沈阳市沈北新区道义南大街58号,http://www.lnu.edu.cn,024-62202299,辽宁大学是一所具备文、史、哲、经、法、理、工、管、医、艺等学科门类的省属综合性大学。学校现有三个校区，即沈阳崇山校区、沈阳蒲河校区和辽阳武圣校区。学校占地面积2190亩，校舍建筑面积65.4万平方米，是国家“211工程”重点建设院校和世界一流学科建设高校。辽宁大学源起于1948年11月东北人民政府在沈阳建立的商业专门学校，是中国共产党创建的第一所专门商科
安徽,合肥市,,安徽农业大学,1928,安徽省,,,,,1,17,8,1,3150,农林类,普通本科,公办,zsb@ahau.edu.cn,安徽省合肥市长江西路130号,http://www.ahau.edu.cn,"0551-65786603,0551-65786135",安徽农业大学坐落于安徽省会合肥，是一所办学历史悠久、以农林生命学科为优势和特色的省政府与农业农村部、国家林业和草原局合作共建高校，是全国首批建设“新农村发展研究院”的十所高校之一，是“中西部高校基础能力建设工程”项目高校，是安徽省“地方特色高水平”大学建设高校。现任党委书记江春、校长夏涛。学校源于1928年成立的省立安徽大学，1935年成立农
新疆,乌鲁木齐市,天山区,新疆大学,1924,新疆维吾尔自治区,,是,是,,5,34,14,2,4363,综合类,普通本科,公办,zsb@xju.edu.cn,新疆大学分校本部：乌鲁木齐市胜利路666号;北校区：乌鲁木齐市西北路134号,http://www.xju.edu.cn,"0991-8585671,0991-8585300,0991-8586161",『历史沿革』新疆大学是一所有着悠久办学历史、光荣革命传统、鲜明办学特色的综合性大学，在国家高等教育布局中具有重要的作用和特殊的区域地位，是自治区高等教育的领头羊和排头兵。1924年，新疆大学的前身——新疆俄文法政专门学校创立，拉开了新疆高等教育的序幕。1935年1月，改建为新疆学院。抗日战争期间，俞秀松、林基路、杜重远等一批共产党人和文学家茅
上海,上海市,杨浦区,同济大学,1907,教育部,是,是,是,是,18,45,33,18,3825,综合类,普通本科,公办,tjzsb@tongji.edu.cn,上海市四平路1239号,http://www.tongji.edu.cn,"021-65982643,021-65981513",同济大学历史悠久、声誉卓著，是中国最早的国立大学之一，是教育部直属并与上海市共建的全国重点大学。经过110年的发展，同济大学已经成为一所特色鲜明、在海内外有较大影响力的综合性、研究型、国际化大学，综合实力位居国内高校前列。同济大学的前身是1907年德国医生埃里希•宝隆在上海创办的德文医学堂，翌年改名同济德文医学堂。1912年与创办不久的同济德文工
上海,上海市,宝山区,上海大学,1922,上海市,,是,是,,8,43,24,1,3000,综合类,普通本科,公办,info@shu.edu.cn,宝山校区：上海市宝山区上大路99号;延长校区：上海市静安区延长路149号,http://www.shu.edu.cn/,021-66134148,上海大学是上海市属、国家“211工程”重点建设的综合性大学，是教育部与上海市人民政府共建高校、国防科技工业局与上海市人民政府共建高校，上海市首批高水平地方高校建设试点，教育部一流学科建设高校。1922年10月，国共合作曾创建了上海大学，校长为于右任，教务长为瞿秋白。这是一所被誉为“武有黄埔、文有上大”的革命学校，1927年被国民党当局强行关闭。1983年
安徽,合肥市,,安徽大学,1928,安徽省,,是,是,,4,32,15,2,3200,综合类,普通本科,公办,zsb@ahu.edu.cn,合肥市经济技术开发区九龙路111号;合肥市蜀山区肥西路3号,http://www.ahu.edu.cn/,"0551-63861666,0551-63861777",安徽大学(AnhuiUniversity)是国家“双一流”建设高校，安徽省人民政府与教育部共建高校、安徽省人民政府与国家国防科技工业局共建高校，安徽省属重点综合性大学。安徽大学历史悠久，1928年创建于当时省会安庆市，是安徽现代高等教育的开端。抗战期间，学校被迫西迁，并一度流散，1946年复校，时为国立安徽大学。1949年12月迁至芜湖。几经调整，学校于1956年迁建合肥市，195
安徽,合肥市,,安徽医科大学,1926,安徽省,,,,,1,13,4,4,2086,医药类,普通本科,公办,ahmuzsb@ahmu.edu.cn,梅山路校区：安徽省合肥市梅山路81号;翡翠路校区：安徽省合肥市经济开发区翡翠路15号,http://www.ahmu.edu.cn/,0551-65167746,安徽医科大学是安徽省办学历史最早的高等学校之一，是安徽省第一所高等医科院校。学校坐落在有“江南唇齿，淮右襟喉”之称的历史文化名城——合肥，承立德树人之使命，育精医报国之英才。学校是安徽省属重点大学，是教育部、国家卫健委和安徽省共建高校，是安徽省第一批地方特色高水平大学和第一批综合改革试点学校。学校前身是1926年始创于上海的东南医科大学
北京,北京市,朝阳区,对外经济贸易大学,1951,教育部,,是,是,,4,11,7,1,513,财经类,普通本科,公办,zhaosheng@uibe.edu.cn,北京市朝阳区惠新东街10号,http://www.uibe.edu.cn/,010-64492178,对外经济贸易大学是教育部直属的全国重点大学，首批“211工程”和首批“双一流”建设高校，坐落在首都北京朝阳区。学校校园规划精致，环境优雅，是中国社会主义经济建设事业人才培养和科学研究的重要基地之一。学校前身为高级商业干部学校，创建于1951年，受中央贸易部和教育部双重领导。1952年，中央贸易部撤销，学校划归对外贸易部，受对外贸易部和教育部双重领
四川,成都市,郫都区,西南交通大学,1896,教育部,,是,是,,7,40,18,4,5000,理工类,普通本科,公办,zsks@swjtu.edu.cn,四川省成都市高新区西部园区西南交通大学,http://www.swjtu.edu.cn/,"028-66366373,028-66366379,028-66368074",西南交通大学是教育部直属全国重点大学，国家首批“双一流”“211工程”“特色985工程”“2011计划”重点建设并设有研究生院的研究型大学，坐落于中国历史文化名城、国家中心城市——成都。学校创建于1896年，前身为山海关北洋铁路官学堂(ImperialChineseRailwayCollege)，是中国第一所工程高等学府，中国土木工程、交通工程、矿冶工程高等教育的发祥地，“交通大学”最早两
江苏,无锡市,滨湖区,江南大学,1902,教育部,,是,是,,2,29,7,3,3250,综合类,普通本科,公办,zhshb@jiangnan.edu.cn,江苏省无锡市蠡湖大道1800号,https://www.jiangnan.edu.cn/,0510-85915666,江南大学是教育部直属、国家“211工程”重点建设高校和一流学科建设高校。学校具有悠久的办学历史、厚重的文化积淀，源起1902年创建的三江师范学堂，历经国立中央大学、南京大学等发展时期；1958年南京工学院食品工业系整建制东迁无锡，建立无锡轻工业学院；1995年更名为无锡轻工大学；2001年无锡轻工大学、江南学院、无锡教育学院合并组建江南大学；2003年东华大学无
山东,德州市,,德州学院,1971,山东省,,,,,0,0,0,0,2021,综合类,普通本科,公办,dzxyzsb@dzu.edu.cn,山东省德州市大学西路566号,http://www.dzu.edu.cn/,"0534-2603002,0534-8987899",德州学院是山东省政府直属全日制综合性普通本科院校。建校40多年来，学校植根齐鲁文化与燕赵文化之沃土，汲取黄河文化与运河文化之灵韵，秉承艰苦创业与励志育人之精神，不断谱写教书育人、创新发展的新篇章。区位优势学校座落在素有“神京门户”、“九达天衢”之称和纳入国家京津冀协同发展战略的德州市。德州历史源远流长，是龙山文化的发祥地之一，留有大禹
天津,天津市,河西区,天津外国语大学,1964,天津市,,,,,0,7,0,0,696,语言类,普通本科,公办,tyzhaoban@tjfsu.edu.cn,天津市河西区马场道117号,http://www.tjfsu.edu.cn/,022-23247377,天津外国语大学是一所以外国语言文学学科为优势学科，文学、经济学、管理学、法学、教育学、艺术学、工学等多学科协调发展、特色鲜明的高等学校，是全国最早独立设置的八所外语院校之一。1921年，学校前身之一的天津工商大学在马场道建校，之后先后更名为津沽大学、河北大学等。1964年，在周恩来总理的亲切关怀下，学校主体前身——秦皇岛外语专科学校（后更名为
湖南,长沙市,,湖南师范大学,1938,湖南省,,是,是,,11,34,21,2,2774,师范类,普通本科,公办,xww@hunnu.edu.cn,长沙市麓山路36号,http://www.hunnu.edu.cn/,0731-8872222,湖南师范大学创建于1938年，位于历史文化名城长沙，是国家“211工程”重点建设的大学，国家“双一流”建设高校，教育部与湖南省重点共建“双一流”建设高校，教育部普通高等学校本科教学工作水平评估优秀高校，湖南省“世界一流学科建设高校”。学校现有7个校区，占地2774余亩，建筑面积125余万平方米。主校区西偎麓山，东濒湘江，风光秀丽，是全国绿化“400佳”单
安徽,合肥市,庐阳区,合肥工业大学,1945,教育部,,是,是,,6,38,16,2,5000,理工类,普通本科,公办,hfutzb@hfut.edu.cn,安徽省合肥市屯溪路193号,http://www.hfut.edu.cn/,"0551-62902397,0551-62902327",学校名称为合肥工业大学，简称合工大；英文译名为HefeiUniversityofTechnology，英文缩写为HFUT。学校是一所公办普通本科院校，是国家教育部直属全国重点大学、国家“双一流”学科建设高校、国家“211工程”重点建设高校和“985工程”优势学科创新平台建设高校，是教育部、工业和信息化部与安徽省共建高校，国防科工局与教育部共建高校。学校本科招生采用“合肥工业大学”(
山东,济南市,,济南大学,1948,山东省,,,,,0,21,4,3,3645,综合类,普通本科,公办,zsb@ujn.edu.cn,主校区：山东省济南市南辛庄西路336号;舜耕校区：济南市舜耕路13号,https://www.ujn.edu.cn/,"0531-82765900,0531-82765901",济南大学是山东省人民政府和教育部共建的综合性大学、山东省重点建设大学，具有学士、硕士、博士学位授予权。学校始建于1948年，建校70年来，学校铭记“弘毅、博学、求真、至善”的校训，传承“勤奋、严谨、团结、创新”的校风，发扬“艰苦奋斗、凝心聚力、追求卓越”的精神，为国家建设和经济社会发展培养了大批优秀人才，近31万名校友遍布海内外。学校现设24个
天津,天津市,西青区,天津理工大学,1978,天津市,,,,,0,22,3,0,2391,理工类,普通本科,公办,zsb@tjut.edu.cn,天津市西青区宾水西道391号,http://www.tjut.edu.cn/,022-60216795,天津理工大学是一所以工为主，工理结合，工、理、管、文、艺等学科协调发展的多科性大学。学校前身为天津理工学院，于1979年以天津大学理工分校名义开始招收本科生，1981年经国务院批准正式设立。1996年，原天津理工学院与原天津大学分校、天津大学机电分校、天津大学冶金分校三所本科院校合并，组建成新的天津理工学院。经教育部批准，2004年更名为天津理工大学。
安徽,合肥市,包河区,中国科学技术大学,1958,中国科学院,是,是,是,是,18,7,28,5,2175,理工类,普通本科,公办,zsb@ustc.edu.cn,安徽省合肥市金寨路96号,https://www.ustc.edu.cn/,"0551-63602553,0551-63602563",中国科学技术大学是中国科学院所属的一所以前沿科学和高新技术为主，兼有特色管理和人文学科的综合性全国重点大学。1958年9月创建于北京，首任校长由郭沫若兼任。她的创办被称为“我国教育史和科学史上的一项重大事件”。建校后，中国科学院实施“全院办校，所系结合”的办学方针，学校紧紧围绕国家急需的新兴科技领域设置系科专业，创造性地把理科与工科即前沿
河南,郑州市,郑州高新技术产业开发区,郑州大学,1956,河南省,,是,是,,8,59,30,4,5700,综合类,普通本科,公办,zdzb@zzu.edu.cn,郑州市科学大道100号,http://www.zzu.edu.cn/,"0371-67781111,0371-67731111,0371-67783333",郑州大学（简称郑大，英文简称：ZZU）由河南省人民政府兴办，法定住所地为河南省郑州市科学大道100号。学校总占地面积5700余亩，现有四个校区：主校区（郑州市科学大道100号）、南校区（郑州市大学北路75号）、北校区（郑州市文化路97号）和东校区（郑州市大学北路40号）。学校面向全国招生，现有全日制普通本科生5.1万余人、各类在校研究生（含非全日制）1.9万余人，
